personnel_id,rank,terrain,consecutive_field_days,duty_hours_5d,night_shifts_5d,leave_denial_ratio,sleep_hrs_5d_avg,self_reported_energy,self_reported_stress,survey_latency_sec,delta_rhr,masking_index,risk_label
PERS_1000,Constable,Dense Forest (Bastar),12,27.5,2,0.2,7.0,5,1,18.2,1.2,0.02,0
PERS_1001,Inspector,Dense Forest (Bastar),47,35.9,1,0.41,8.4,5,1,41.7,5.2,0.09,0
PERS_1002,Head Constable,Border Outpost (Thar),54,33.0,3,0.28,5.7,4,4,76.9,4.8,0.06,1
PERS_1003,Head Constable,Dense Forest (Bastar),15,52.4,0,0.12,6.7,5,1,54.6,1.9,0.02,0
PERS_1004,Constable,Peace Station (HQ),59,69.1,2,0.46,4.2,2,8,85.1,11.2,0.06,2
PERS_1005,Constable,Dense Forest (Bastar),57,71.7,4,0.13,3.6,2,9,38.3,16.3,0.17,2
PERS_1006,Constable,Peace Station (HQ),91,45.5,1,0.13,8.0,4,1,37.7,7.9,0.1,0
PERS_1007,ASI,Dense Forest (Bastar),5,47.4,2,0.11,5.9,5,2,46.4,7.1,0.04,0
PERS_1008,Head Constable,Peace Station (HQ),11,60.7,2,0.05,4.6,3,3,14.6,7.6,0.73,0
PERS_1009,Head Constable,Dense Forest (Bastar),23,37.2,2,0.33,7.1,5,1,46.1,6.3,0.05,1
PERS_1010,Constable,Dense Forest (Bastar),87,68.7,2,0.22,4.7,2,8,42.7,12.2,0.22,2
PERS_1011,Inspector,Counter-Insurgency (J&K),74,67.6,1,0.33,5.2,2,7,16.0,8.2,0.03,2
PERS_1012,ASI,Peace Station (HQ),63,34.8,2,0.37,6.7,5,3,77.5,5.0,0.07,0
PERS_1013,Constable,Peace Station (HQ),61,30.5,2,0.35,7.0,5,2,42.5,3.4,0.09,0
PERS_1014,Constable,Peace Station (HQ),91,53.1,1,0.27,7.0,3,4,6.8,10.4,0.09,0
PERS_1015,Constable,High Altitude (Ladakh/Sikkim),19,59.3,4,0.16,3.6,2,6,38.5,10.7,0.06,1
PERS_1016,Constable,Dense Forest (Bastar),68,39.6,2,0.03,6.7,4,2,30.6,8.2,0.02,0
PERS_1017,Head Constable,Peace Station (HQ),122,39.8,2,0.22,6.8,3,5,85.9,6.2,0.0,2
PERS_1018,Constable,High Altitude (Ladakh/Sikkim),70,55.6,3,0.24,5.3,3,6,17.9,10.0,0.04,1
PERS_1019,Constable,Counter-Insurgency (J&K),26,56.9,2,0.08,4.9,4,2,39.3,8.2,0.71,0
PERS_1020,Head Constable,Peace Station (HQ),81,49.3,0,0.19,6.3,3,3,32.2,8.2,0.07,1
PERS_1021,Constable,Peace Station (HQ),65,48.5,2,0.26,5.9,3,2,62.3,5.8,0.17,0
